ADANIENT
ADANIPORTS
APOLLOHOSP
ASIANPAINT
AXISBANK
BAJAJ-AUTO
BAJFINANCE
BAJAJFINSV
BPCL
BHARTIARTL
BRITANNIA
CIPLA
COALINDIA
DIVISLAB
DRREDDY
DUMMYREL
EICHERMOT
GRASIM
HCLTECH
HDFCBANK
HDFCLIFE
HEROMOTOCO
HINDALCO
HINDUNILVR
ICICIBANK
ITC
INDUSINDBK
INFY
JSWSTEEL
KOTAKBANK
LTIM
LT
M&M
MARUTI
NTPC
NESTLEIND
ONGC
POWERGRID
RELIANCE
SBILIFE
SBIN
SUNPHARMA
TCS
TATACONSUM
TATAMOTORS
TATASTEEL.NS
TECHM
TITAN
UPL
ULTRACEMCO
WIPRO.NS
AAPL
^NSEI
AHASOLAR
GRSE.NS
^NSEBANK
